"sample"	"n_cell_types"	"cell_count"	"lib_factor"	"Phi_factor"	"SC_rep"	"ST_rep"	"alpha0"	"alpha1"	"CARD_rmse"	"Ave_rmse"	"Median_rmse"	"j"	"WAIC"	"PercentMedianDiff"	"PercentMeanDiff"
2	12	10	0.05	50	8	2	-0.1	0.5	0.000725745032119644	0.000656483646978954	0.00065697443584906	160	17358.0133380765	9.47586180090405	9.54348732342019
2	12	10	0.05	50	8	2	0	0.5	0.000725745032119644	0.00070648349756011	0.000711229427742603	161	470277.273275646	2.00009696720156	2.65403601913452
2	12	10	0.05	50	8	2	0.1	0.5	0.000725745032119644	0.000707564726521044	0.000710259862562508	162	2074371.82899945	2.13369280832821	2.50505408841751
2	12	10	0.05	50	9	2	-0.1	0.1	0.000783622589202638	0.000777768449609122	0.000777815031665535	163	142674.929313853	0.741116657064744	0.747061107499825
2	12	10	0.05	50	9	2	0	0.1	0.000783622589202638	0.000791230034055919	0.000792820672730862	164	1257740.21396845	-1.17378999214184	-0.97080469068942
2	12	10	0.05	50	9	2	0.1	0.1	0.000783622589202638	0.000811517006800469	0.000811945079674547	165	4547551.95348552	-3.61430245403309	-3.55967502496499
2	12	10	0.05	50	9	2	-0.1	0.3	0.000783622589202638	0.000792684279134623	0.000790724223229222	166	43132.6657189815	-0.906256930879135	-1.15638447089761
2	12	10	0.05	50	9	2	0	0.3	0.000783622589202638	0.000789585966453	0.000791485059286528	167	617657.788578961	-1.00334908567274	-0.761001192733612
2	12	10	0.05	50	9	2	0.1	0.3	0.000783622589202638	0.000812316180011721	0.000812747712145689	168	2560493.34390984	-3.71672835167838	-3.66165947797392
2	12	10	0.05	50	9	2	-0.1	0.5	0.000783622589202638	0.000825769835576739	0.000820878990876273	169	12988.2523148235	-4.75438076785717	-5.37851345211822
2	12	10	0.05	50	9	2	0	0.5	0.000783622589202638	0.00078553088013137	0.000787322787147113	170	331673.17728523	-0.472191332340199	-0.243521684421233
2	12	10	0.05	50	9	2	0.1	0.5	0.000783622589202638	0.000813095675018694	0.000813579042710802	171	1547284.1359108	-3.82281648346117	-3.76113274708501
2	12	10	0.05	50	10	2	-0.1	0.1	0.000841374175284239	0.000803948081269513	0.00080390597373988	172	216523.020525937	4.45321506708973	4.44821045310576
2	12	10	0.05	50	10	2	0	0.1	0.000841374175284239	0.000834547923332741	0.000836433703940966	173	1844549.67240133	0.587190751558841	0.811321781916174
2	12	10	0.05	50	10	2	0.1	0.1	0.000841374175284239	0.000852838459626277	0.000853578113794072	174	6647361.47322327	-1.45047695405081	-1.3625667008575
2	12	10	0.05	50	10	2	-0.1	0.3	0.000841374175284239	0.000814250294118943	0.000813582728244284	175	64086.0819964457	3.30310197963548	3.22375964963895
