"Method"	"SC_rep"	"ST_rep"	"RMSE"	"CARD_RMSE"	"PercentDiff"
"STdeconvolve"	10	1	0.00118808793677733	0.000764797439204615	-55.3467461937292
"SpatialDecon"	10	1	0.00104994464229253	0.000764797439204615	-37.2840164559745
"SPOTlight"	10	1	0.000975133599171144	0.000764797439204615	-27.5022050525271
"STdeconvolve"	10	1	0.00118808793677733	0.000764797439204615	-55.3467461937292
"SpatialDecon"	10	1	0.00104994464229253	0.000764797439204615	-37.2840164559745
"SPOTlight"	10	1	0.000975133599171144	0.000764797439204615	-27.5022050525271
"STdeconvolve"	10	1	0.00118808793677733	0.000764797439204615	-55.3467461937292
"SpatialDecon"	10	1	0.00104994464229253	0.000764797439204615	-37.2840164559745
"SPOTlight"	10	1	0.000975133599171144	0.000764797439204615	-27.5022050525271
"STdeconvolve"	10	1	0.00118808793677733	0.000764797439204615	-55.3467461937292
"SpatialDecon"	10	1	0.00104994464229253	0.000764797439204615	-37.2840164559745
"SPOTlight"	10	1	0.000975133599171144	0.000764797439204615	-27.5022050525271
"STdeconvolve"	10	1	0.00118808793677733	0.000764797439204615	-55.3467461937292
"SpatialDecon"	10	1	0.00104994464229253	0.000764797439204615	-37.2840164559745
"SPOTlight"	10	1	0.000975133599171144	0.000764797439204615	-27.5022050525271
"STdeconvolve"	10	1	0.00118808793677733	0.000764797439204615	-55.3467461937292
"SpatialDecon"	2	2	0.000791579065388245	0.000641940351507403	-23.3103766618597
"SPOTlight"	2	2	0.000891387587851967	0.000641940351507403	-38.858320054007
"STdeconvolve"	2	2	0.00122863361612476	0.000641940351507403	-91.3937351406076
"ZI-HGT + CARD"	10	1	0.000739876214480263	0.000764797439204615	3.25853924802236
"ZI-HGT + CARD"	1	2	0.000617264912924231	0.00065729879810885	6.09066763849305
"ZI-HGT + CARD"	2	2	0.000643058053720987	0.000641940351507403	-0.174113094925321
"ZI-HGT + CARD"	3	2	0.000505941192293225	0.000611016023389468	17.1967390500441
"ZI-HGT + CARD"	4	2	0.000696189251818057	0.000701597983031325	0.77091601516569
"ZI-HGT + CARD"	5	2	0.000752792788834754	0.00068747641517216	-9.5008893717812
"ZI-HGT + CARD"	6	2	0.000686728077305752	0.00075106953873602	8.56664504575023
"ZI-HGT + CARD"	7	2	0.000627585458329628	0.000689495757403902	8.97906889338662
"ZI-HGT + CARD"	8	2	0.000632669441452011	0.000629157519059622	-0.558194456236993
"ZI-HGT + CARD"	9	2	0.000608129974445626	0.000674124713139343	9.78969282796142
"ZI-HGT + CARD"	10	2	0.000520108954353032	0.000578619882059584	10.112152990368
"ZI-HGT + CARD"	1	3	0.000626345517605012	0.000658149928754264	4.83239604833664
"ZI-HGT + CARD"	2	3	0.000714254619714346	0.000632851918560481	-12.8628354859108
"ZI-HGT + CARD"	3	3	0.000671588287742246	0.000738212805129256	9.02510995800786
"ZI-HGT + CARD"	4	3	0.000512460347349612	0.000612896847887358	16.3871785087407
"ZI-HGT + CARD"	5	3	0.000696179819835958	0.000662426947257892	-5.09533507321613
"ZI-HGT + CARD"	6	3	0.000587259489887907	0.000677905162366716	13.3714385891893
"ZI-HGT + CARD"	7	3	0.000833404158844448	0.000786406534876324	-5.97625043585308
"ZI-HGT + CARD"	8	3	0.000576837403677942	0.000619812967991133	6.93363426268391
"ZI-HGT + CARD"	9	3	0.000590204167181397	0.000669136984363404	11.7962119904494
"ZI-HGT + CARD"	10	3	0.000565985765196319	0.000622751490049572	9.11530935859084
"ZI-HGT + CARD"	1	4	0.000643121663462764	0.000647620224077038	0.694629421229764
"ZI-HGT + CARD"	2	4	0.00064158087154544	0.000703687679164692	8.82590522161405
"ZI-HGT + CARD"	3	4	0.000650934814514714	0.000656292676032302	0.816382951273931
"ZI-HGT + CARD"	4	4	0.000607847684522371	0.000685463780148696	11.3231505258364
"ZI-HGT + CARD"	5	4	0.000831166517144355	0.000810924326222165	-2.49618740832347
"ZI-HGT + CARD"	6	4	0.000592396241702486	0.000664860380571773	10.8991513085753
"ZI-HGT + CARD"	7	4	0.000823458517503868	0.00087854046388693	6.26971080414018
"ZI-HGT + CARD"	8	4	0.000720105805263756	0.000718217468212982	-0.2629199559115
"ZI-HGT + CARD"	9	4	0.000578592987910022	0.000640218816614829	9.62574468377161
"ZI-HGT + CARD"	10	4	0.000609108944454203	0.000668220238653145	8.84607959766156
"ZI-HGT + CARD"	1	5	0.000574442704096918	0.000622009633114411	7.64729780458935
"ZI-HGT + CARD"	2	5	0.000791026900324209	0.000709922724814555	-11.4243667197497
"ZI-HGT + CARD"	3	5	0.000725171680058225	0.000665259723421701	-9.00579946857036
"ZI-HGT + CARD"	4	5	0.000616135130865458	0.000672377039220893	8.36463845056412
"ZI-HGT + CARD"	5	5	0.000553394189041954	0.000651050178941611	14.9997639288591
"ZI-HGT + CARD"	6	5	0.000565582033196291	0.000633985380161828	10.7894202462645
"ZI-HGT + CARD"	7	5	0.000612095816950226	0.000680153004515529	10.0061584839694
"ZI-HGT + CARD"	8	5	0.000609674225255014	0.000672394068298861	9.32784002728139
"ZI-HGT + CARD"	9	5	0.000607851867987186	0.000623478522744703	2.50636616779111
"ZI-HGT + CARD"	10	5	0.00079361228919065	0.000696033509480356	-14.0192646447646
"ZI-HGT + CARD"	1	6	0.000749493294378571	0.000656602721546136	-14.147150138778
"ZI-HGT + CARD"	2	6	0.000550491169748178	0.000633513489502296	13.1050595022598
"ZI-HGT + CARD"	3	6	0.000550623513658715	0.000638184078832069	13.7202678784462
"ZI-HGT + CARD"	4	6	0.000675751657502745	0.00073937168846462	8.604607392256
"ZI-HGT + CARD"	5	6	0.000570322986873335	0.000634253166299433	10.079599570484
"ZI-HGT + CARD"	6	6	0.000572821451240059	0.000638852403535425	10.335869745492
"ZI-HGT + CARD"	7	6	0.000709047601675312	0.000754762891514027	6.05690745434121
"ZI-HGT + CARD"	8	6	0.000516924397706504	0.000604856417972784	14.5376683876465
"ZI-HGT + CARD"	9	6	0.000721378344248985	0.000722200770590072	0.113877798886108
"ZI-HGT + CARD"	10	6	0.000597316772365669	0.000657153591260631	9.10545414203327
"ZI-HGT + CARD"	1	7	0.000735476655593433	0.000656516731725498	-12.0271000040483
"ZI-HGT + CARD"	2	7	0.00073894322029014	0.000800879181914468	7.73349626547574
"ZI-HGT + CARD"	3	7	0.000503347017891599	0.000609543616461311	17.4223133015867
"ZI-HGT + CARD"	4	7	0.000698278099147452	0.00071289054936771	2.04974665931796
"ZI-HGT + CARD"	5	7	0.000961829020930431	0.00083832768381119	-14.7318691132543
"ZI-HGT + CARD"	6	7	0.00073869154337045	0.000767357224695193	3.73563711948232
"ZI-HGT + CARD"	7	7	0.000779428948931852	0.000806048904760021	3.30252366462728
"ZI-HGT + CARD"	8	7	0.000548301146181601	0.000611880271245294	10.3907787277234
"ZI-HGT + CARD"	9	7	0.00065365351782006	0.000664944216111078	1.69799180404206
"ZI-HGT + CARD"	10	7	0.000574617988303168	0.000641402994774225	10.4123315630239
"ZI-HGT + CARD"	1	8	0.00077789176893177	0.000789629181480249	1.48644614760506
"ZI-HGT + CARD"	2	8	0.000770611531440887	0.000721825091795986	-6.75876194931304
"ZI-HGT + CARD"	3	8	0.000689042102095415	0.000648666542163145	-6.22439378445934
